CPF/CNPJ;;CNPJ OPTANTE
82.888.082/0001-17;;
82.885.831/0001-52;;
82.881.103/0001-72;;
82.877.226/0001-30;;
82.877.051/0001-60;;
82.875.055/0001-00;;
82.872.706/0001-08;;
82.872.011/0001-26;;
82.859.125/0001-36;;
82.856.097/0001-01;;
82.845.538/0001-61;;
82.836.545/0001-05;;
82.822.818/0001-54;;
82.817.800/0001-64;;
82.811.761/0001-98;;
82.752.064/0001-03;;
82.745.217/0001-95;;
82.703.414/0001-41;;
82.702.861/0001-86;;
82.660.317/0003-80;;
82.586.876/0001-26;;
82.536.061/0001-32;;
82.535.675/0001-08;;
82.532.367/0001-10;;
82.532.235/0001-99;;
82.532.193/0001-96;;
82.530.239/0001-38;;
82.518.838/0001-36;;
82.517.558/0001-03;;
82.516.196/0001-36;;
82.515.412/0001-29;;
82.514.878/0001-00;;
82.513.094/0001-67;;
82.511.825/0001-35;;
82.509.423/0001-04;;
82.508.540/0001-45;;
82.171.943/0001-41;;
82.160.219/0001-12;;
82.145.863/0001-11;;
82.143.769/0001-23;;
82.134.339/0001-45;;
82.123.266/0001-96;;
82.103.292/0001-52;;
82.100.496/0001-30;;
82.036.237/0001-97;;
81.861.080/0001-71;;
81.826.463/0001-09;;
81.802.704/0001-80;;
81.799.264/0001-59;;
81.793.358/0001-10;;
81.777.674/0001-07;;
81.617.284/0001-61;;
81.594.731/0001-04;;
81.574.113/0001-00;;
81.561.458/0001-11;;
81.543.233/0001-32;;
81.518.367/0001-01;;
81.365.819/0001-54;;
81.361.487/0001-30;;
81.334.799/0001-54;;
81.334.401/0001-80;;
81.328.692/0001-01;;
81.304.446/0001-01;;
81.013.211/0001-60;;
80.998.065/0001-07;;
80.993.751/0001-95;;
80.967.458/0001-53;;
80.960.198/0001-94;;
80.949.993/0001-81;;
80.934.169/0001-58;;
80.931.959/0001-80;;
80.756.125/0001-85;;
80.754.633/0001-24;;
80.748.759/0001-96;;
80.740.210/0001-55;;
80.726.318/0001-93;;
80.718.679/0001-98;;
80.714.306/0001-49;;
80.694.052/0001-44;;
80.681.091/0001-07;;
80.673.585/0001-40;;
80.672.306/0001-23;;
80.670.565/0001-15;;
80.670.136/0001-48;;
80.666.670/0001-80;;
80.660.632/0001-10;;
80.659.774/0001-68;;
80.502.917/0001-23;;
80.485.212/0001-45;;
80.474.760/0001-70;;
80.471.618/0001-79;;
80.440.761/0001-01;;
80.436.611/0001-16;;
80.412.687/0001-01;;
80.411.333/0001-42;;
80.150.337/0001-14;;
80.139.488/0001-71;;
80.104.607/0001-50;;
80.096.290/0001-58;;
80.087.554/0001-07;;
80.085.574/0001-49;;
79.941.928/0001-20;;
79.939.666/0001-60;;
79.938.080/0001-80;;
79.864.187/0001-21;;
79.856.258/0001-44;;
79.834.305/0001-59;;
79.829.701/0001-98;;
79.828.174/0001-05;;
79.684.569/0001-73;;
79.676.367/0001-80;;
79.664.777/0001-00;;
79.646.535/0001-94;;
79.645.271/0001-54;;
79.498.275/0001-57;;
79.491.007/0001-03;;
79.489.753/0001-62;;
79.485.108/0001-71;;
79.400.123/0001-70;;
79.382.602/0001-00;;
79.382.461/0001-26;;
79.311.031/0002-02;;
79.310.140/0001-16;;
79.288.965/0001-81;;
79.277.182/0001-00;;
79.258.398/0001-10;;
79.230.595/0001-21;;
79.222.931/0001-94;;
78.991.213/0001-10;;
78.895.364/0001-74;;
78.878.121/0001-28;;
78.872.736/0001-47;;
78.867.371/0001-62;;
78.863.610/0001-06;;
78.855.624/0001-88;;
78.838.455/0004-10;;
78.838.455/0003-30;;
78.834.819/0001-41;;
78.814.746/0001-26;;
78.812.898/0001-90;;
78.647.492/0001-07;;
78.624.681/0001-56;;
78.621.539/0001-55;;
78.540.150/0001-85;;
78.536.612/0001-90;;
78.533.304/0001-01;;
78.524.733/0001-12;;
78.523.503/0001-39;;
78.514.171/0001-26;;
78.356.938/0001-36;;
78.274.289/0001-24;;
78.259.322/0002-28;;
78.218.047/0001-13;;
78.216.264/0001-74;;
77.912.202/0001-34;;
77.910.230/0001-12;;
77.906.998/0001-12;;
77.905.735/0001-99;;
77.900.686/0001-00;;
77.895.951/0001-09;;
77.887.511/0001-00;;
77.884.211/0001-69;;
77.856.961/0001-27;;
76.875.111/0001-03;;
76.865.666/0001-74;;
76.861.582/0001-62;;
76.854.330/0001-06;;
76.844.497/0001-96;;
76.838.929/0001-56;;
76.838.630/0001-00;;
76.823.301/0001-87;;
76.612.589/0001-40;;
76.601.343/0001-73;;
76.599.828/0001-70;;
76.581.958/0001-85;;
76.557.263/0001-68;;
76.557.149/0001-38;;
76.530.427/0002-44;;
76.496.256/0003-65;;
76.383.041/0001-76;;
76.369.917/0001-20;;
76.365.170/0001-31;;
76.357.441/0001-07;;
76.357.250/0001-45;;
76.330.927/0001-51;;
76.322.635/0001-77;;
76.312.388/0001-28;;
76.193.838/0001-00;;
75.890.939/0001-78;;
75.831.495/0001-08;;
75.820.027/0001-20;;
75.804.013/0001-12;;
